timestamp,label,codec,src,tiles,seconds,agg_fps,sustainable_streams,cpu_pct,rss_mb,log
20260724-122857,devbox,h265,1920x1080,4,5,384,15,0,758,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-122857_n4.log
20260724-122920,devbox,h265,1920x1080,4,5,376,15,1,732,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-122920_n4.log
20260724-123005,devbox,h265,1920x1080,4,20,371,15,1,765,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n4.log
20260724-123005,devbox,h265,1920x1080,9,20,375,15,1,1557,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n9.log
20260724-123005,devbox,h265,1920x1080,16,20,281,11,1,2646,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n16.log
20260724-123005,devbox,h265,1920x1080,25,20,305,12,1,4012,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n25.log
20260724-123005,devbox,h265,1920x1080,36,20,328,13,2,6171,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n36.log
20260724-123005,devbox,h265,1920x1080,49,20,338,14,1,10497,C:\Users\zubair\vms\native\results\logs\devbox_h265_20260724-123005_n49.log
20260724-124227,devbox-sub,h265,640x480,4,20,1568,63,1,305,C:\Users\zubair\vms\native\results\logs\devbox-sub_h265_20260724-124227_n4.log
20260724-124227,devbox-sub,h265,640x480,9,20,1558,62,0,463,C:\Users\zubair\vms\native\results\logs\devbox-sub_h265_20260724-124227_n9.log
20260724-124227,devbox-sub,h265,640x480,16,20,1576,63,0,690,C:\Users\zubair\vms\native\results\logs\devbox-sub_h265_20260724-124227_n16.log
20260724-124227,devbox-sub,h265,640x480,25,20,1519,61,1,998,C:\Users\zubair\vms\native\results\logs\devbox-sub_h265_20260724-124227_n25.log
20260724-124227,devbox-sub,h265,640x480,36,20,1401,56,1,1356,C:\Users\zubair\vms\native\results\logs\devbox-sub_h265_20260724-124227_n36.log
20260724-134623,lowend-i5,h264,1920x1080,2,20,716,29,6,572,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n2.log
20260724-134623,lowend-i5,h264,1920x1080,4,20,658,26,47,1078,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n4.log
20260724-134623,lowend-i5,h264,1920x1080,6,20,661,26,77,1575,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n6.log
20260724-134623,lowend-i5,h264,1920x1080,9,20,681,27,83,2363,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n9.log
20260724-134623,lowend-i5,h264,1920x1080,12,20,759,30,88,3096,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n12.log
20260724-134623,lowend-i5,h264,1920x1080,16,20,790,32,81,4146,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260724-134623_n16.log
20260729-125722,lowend-i5,h264,1920x1080,2,20,798,32,0,284,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n2.log
20260729-125722,lowend-i5,h264,1920x1080,4,20,799,32,0,403,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n4.log
20260729-125722,lowend-i5,h264,1920x1080,6,20,802,32,0,570,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n6.log
20260729-125722,lowend-i5,h264,1920x1080,9,20,803,32,0,646,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n9.log
20260729-125722,lowend-i5,h264,1920x1080,12,20,804,32,0,832,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n12.log
20260729-125722,lowend-i5,h264,1920x1080,16,20,814,33,0,888,C:\Users\zubair\vms\native\results\logs\lowend-i5_h264_20260729-125722_n16.log
